Palabra: 'unknownemoji', Categoría: 'rareSymbols'
Palabra: 'envo', Categoría: 'moderateSpamWord'
Palabra: 'lexsuperlatives', Categoría: 'moderateSpamWord'
Palabra: 'ganancias', Categoría: 'moderateSpamWord'
Palabra: 'tienda', Categoría: 'moderateSpamWord'
Palabra: 'instrucciones', Categoría: 'moderateSpamWord'
Palabra: 'prueba', Categoría: 'moderateSpamWord'
Palabra: 'producto', Categoría: 'moderateSpamWord'
Palabra: 'salvar', Categoría: 'moderateSpamWord'
Palabra: 'hacer', Categoría: 'moderateSpamWord'
Palabra: 'suspendida', Categoría: 'moderateSpamWord'
Palabra: 'ingresos', Categoría: 'moderateSpamWord'
Palabra: 'contacto', Categoría: 'moderateSpamWord'
Palabra: 'aprobado', Categoría: 'moderateSpamWord'
Palabra: 'ahorro', Categoría: 'moderateSpamWord'
Palabra: 'registrarse', Categoría: 'moderateSpamWord'
Palabra: 'trabajo', Categoría: 'moderateSpamWord'
Palabra: 'salva', Categoría: 'moderateSpamWord'
Palabra: 'restaurada', Categoría: 'moderateSpamWord'
Palabra: 'potencial', Categoría: 'moderateSpamWord'
Palabra: 'poderoso', Categoría: 'moderateSpamWord'
Palabra: 'consulta', Categoría: 'moderateSpamWord'
Palabra: 'probar', Categoría: 'moderateSpamWord'
Palabra: 'lexwealth', Categoría: 'moderateSpamWord'
Palabra: 'servicio', Categoría: 'moderateSpamWord'
Palabra: 'resultado', Categoría: 'moderateSpamWord'
Palabra: 'costo', Categoría: 'moderateSpamWord'
Palabra: 'notificacion', Categoría: 'moderateSpamWord'
Palabra: 'consultas', Categoría: 'moderateSpamWord'
Palabra: 'unete', Categoría: 'moderateSpamWord'
Palabra: 'aumente', Categoría: 'strongSpamWord'
Palabra: 'participe', Categoría: 'strongSpamWord'
Palabra: 'fraude', Categoría: 'strongSpamWord'
Palabra: 'pronto', Categoría: 'strongSpamWord'
Palabra: 'libertad', Categoría: 'strongSpamWord'
Palabra: 'mejora', Categoría: 'strongSpamWord'
Palabra: 'cura', Categoría: 'strongSpamWord'
Palabra: 'mejore', Categoría: 'strongSpamWord'
Palabra: 'anuncio', Categoría: 'strongSpamWord'
Palabra: 'vip', Categoría: 'strongSpamWord'
Palabra: 'verificar', Categoría: 'strongSpamWord'
Palabra: 'rebaja', Categoría: 'strongSpamWord'
Palabra: 'click', Categoría: 'strongSpamWord'
Palabra: 'exclusivo', Categoría: 'strongSpamWord'
Palabra: 'expira', Categoría: 'strongSpamWord'
Palabra: 'suscripcin', Categoría: 'strongSpamWord'
Palabra: 'apuesta', Categoría: 'strongSpamWord'
Palabra: 'suscribirse', Categoría: 'strongSpamWord'
Palabra: 'flash', Categoría: 'strongSpamWord'
Palabra: 'donacion', Categoría: 'strongSpamWord'
Palabra: 'compare', Categoría: 'strongSpamWord'
Palabra: 'increible', Categoría: 'strongSpamWord'
Palabra: 'sorteo', Categoría: 'strongSpamWord'
Palabra: 'testimonios', Categoría: 'strongSpamWord'
Palabra: 'asegurado', Categoría: 'strongSpamWord'
Palabra: 'engao', Categoría: 'strongSpamWord'
Palabra: 'hoy', Categoría: 'strongSpamWord'
Palabra: 'oficial', Categoría: 'strongSpamWord'
Palabra: 'milagro', Categoría: 'strongSpamWord'
Palabra: 'rendimientos', Categoría: 'strongSpamWord'
Palabra: 'limitada', Categoría: 'strongSpamWord'
Palabra: 'valor', Categoría: 'strongSpamWord'
Palabra: 'encuentra', Categoría: 'strongSpamWord'
Palabra: 'marketing', Categoría: 'strongSpamWord'
Palabra: 'estimado', Categoría: 'strongSpamWord'
Palabra: 'descarga', Categoría: 'strongSpamWord'
Palabra: 'pierda', Categoría: 'strongSpamWord'
Palabra: 'ganador', Categoría: 'strongSpamWord'
Palabra: 'limitado', Categoría: 'strongSpamWord'
Palabra: 'inmediato', Categoría: 'strongSpamWord'
Palabra: 'lexpurchases', Categoría: 'strongSpamWord'
Palabra: 'increble', Categoría: 'strongSpamWord'
Palabra: 'ahorra', Categoría: 'strongSpamWord'
Palabra: 'seleccion', Categoría: 'strongSpamWord'
Palabra: 'recompensa', Categoría: 'strongSpamWord'
Palabra: 'legal', Categoría: 'strongSpamWord'
Palabra: 'mentira', Categoría: 'strongSpamWord'
Palabra: 'premios', Categoría: 'strongSpamWord'
Palabra: 'asombroso', Categoría: 'strongSpamWord'
Palabra: 'garanta', Categoría: 'strongSpamWord'
Palabra: 'garantizado', Categoría: 'strongSpamWord'
Palabra: 'personalizado', Categoría: 'strongSpamWord'
Palabra: 'cliente', Categoría: 'strongSpamWord'
Palabra: 'verificacion', Categoría: 'strongSpamWord'
Palabra: 'final', Categoría: 'strongSpamWord'
Palabra: 'rolex', Categoría: 'strongSpamWord'
Palabra: 'lujo', Categoría: 'strongSpamWord'
Palabra: 'fabuloso', Categoría: 'strongSpamWord'
Palabra: 'accion', Categoría: 'strongSpamWord'
Palabra: 'empleo', Categoría: 'strongSpamWord'
Palabra: 'webaddress', Categoría: 'strongSpamWord'
Palabra: 'ahora', Categoría: 'strongSpamWord'
Palabra: 'secreto', Categoría: 'strongSpamWord'
Palabra: 'inversin', Categoría: 'strongSpamWord'
Palabra: 'criptografia', Categoría: 'strongSpamWord'
Palabra: 'prosperidad', Categoría: 'strongSpamWord'
Palabra: 'regalo', Categoría: 'strongSpamWord'
Palabra: 'urgente', Categoría: 'strongSpamWord'
